group,timepoint,subject_id,channel,region,feature,power_value
Control,Task,Sub_14,T5,parietal,theta,0.62118894
Control,Task,Sub_14,T5,parietal,alpha,0.47089782
Control,Task,Sub_14,T5,parietal,beta,0.53296065
Control,Task,Sub_14,T5,parietal,gamma,0.50945264
Control,Task,Sub_14,T5,parietal,broadband,0.3961706
Control,Task,Sub_14,P3,parietal,delta,0.5784016
Control,Task,Sub_14,P3,parietal,theta,0.27826923
Control,Task,Sub_14,P3,parietal,alpha,0.3618513
Control,Task,Sub_14,P3,parietal,beta,0.2542019
Control,Task,Sub_14,P3,parietal,gamma,0.61198646
Control,Task,Sub_14,P3,parietal,broadband,0.43376455
Control,Task,Sub_14,Pz,parietal,delta,0.55239093
Control,Task,Sub_14,Pz,parietal,theta,0.76651263
Control,Task,Sub_14,Pz,parietal,alpha,0.6418395
Control,Task,Sub_14,Pz,parietal,beta,0.18573403
Control,Task,Sub_14,Pz,parietal,gamma,0.86253464
Control,Task,Sub_14,Pz,parietal,broadband,0.6437759
Control,Task,Sub_14,P4,parietal,delta,0.46544236
Control,Task,Sub_14,P4,parietal,theta,0.6431487
Control,Task,Sub_14,P4,parietal,alpha,0.7998257
Control,Task,Sub_14,P4,parietal,beta,0.38380113
Control,Task,Sub_14,P4,parietal,gamma,0.86587983
Control,Task,Sub_14,P4,parietal,broadband,0.43398184
Control,Task,Sub_14,T6,parietal,delta,0.4725622
Control,Task,Sub_14,T6,parietal,theta,0.62240845
Control,Task,Sub_14,T6,parietal,alpha,1.0844465
Control,Task,Sub_14,T6,parietal,beta,0.525717
Control,Task,Sub_14,T6,parietal,gamma,0.7806833
Control,Task,Sub_14,T6,parietal,broadband,0.62578416
Control,Task,Sub_14,O1,occipital,delta,0.5699002
Control,Task,Sub_14,O1,occipital,theta,0.5712801
Control,Task,Sub_14,O1,occipital,alpha,0.55528337
Control,Task,Sub_14,O1,occipital,beta,0.40655077
Control,Task,Sub_14,O1,occipital,gamma,0.2924611
Control,Task,Sub_14,O1,occipital,broadband,0.5999836
Control,Task,Sub_14,Oz,occipital,delta,0.34562832
Control,Task,Sub_14,Oz,occipital,theta,
Control,Task,Sub_14,Oz,occipital,alpha,0.43851084
Control,Task,Sub_14,Oz,occipital,beta,0.34245443
Control,Task,Sub_14,Oz,occipital,gamma,0.25749096
Control,Task,Sub_14,Oz,occipital,broadband,0.4718551
Control,Task,Sub_14,O2,occipital,delta,0.36529002
Control,Task,Sub_14,O2,occipital,theta,0.47477594
Control,Task,Sub_14,O2,occipital,alpha,0.8069157
Control,Task,Sub_14,O2,occipital,beta,0.7142323
Control,Task,Sub_14,O2,occipital,gamma,0.27043837
Control,Task,Sub_14,O2,occipital,broadband,0.24500589
Control,Task,Sub_14,AF3,extra,delta,0.5936949
Control,Task,Sub_14,AF3,extra,theta,0.5389313
Control,Task,Sub_14,AF3,extra,alpha,0.5734901
Control,Task,Sub_14,AF3,extra,beta,0.6168183
Control,Task,Sub_14,AF3,extra,gamma,0.6910464
Control,Task,Sub_14,AF3,extra,broadband,0.5090767
Control,Task,Sub_14,AF4,extra,delta,0.56715226
Control,Task,Sub_14,AF4,extra,theta,0.49806947
Control,Task,Sub_14,AF4,extra,alpha,0.31134683
Control,Task,Sub_14,AF4,extra,beta,0.5061646
Control,Task,Sub_14,AF4,extra,gamma,0.57374424
Control,Task,Sub_14,AF4,extra,broadband,0.31673694
Control,Task,Sub_14,FC5,extra,delta,0.7674947
Control,Task,Sub_14,FC5,extra,theta,0.6615366
Control,Task,Sub_14,FC5,extra,alpha,0.24283932
Control,Task,Sub_14,FC5,extra,beta,0.5666634
Control,Task,Sub_14,FC5,extra,gamma,0.45002127
Control,Task,Sub_14,FC5,extra,broadband,0.7092238
Control,Task,Sub_14,FC1,extra,delta,0.66612256
Control,Task,Sub_14,FC1,extra,theta,0.66419715
Control,Task,Sub_14,FC1,extra,alpha,0.54086804
Control,Task,Sub_14,FC1,extra,beta,0.5893097
Control,Task,Sub_14,FC1,extra,gamma,0.65809333
Control,Task,Sub_14,FC1,extra,broadband,0.30244136
Control,Task,Sub_14,FC2,extra,delta,0.62651443
Control,Task,Sub_14,FC2,extra,theta,0.48646492
Control,Task,Sub_14,FC2,extra,alpha,0.5214913
Control,Task,Sub_14,FC2,extra,beta,0.6564714
Control,Task,Sub_14,FC2,extra,gamma,0.43667257
Control,Task,Sub_14,FC2,extra,broadband,0.25957763
Control,Task,Sub_14,FC6,extra,delta,0.30496174
Control,Task,Sub_14,FC6,extra,theta,0.61049753
Control,Task,Sub_14,FC6,extra,alpha,0.3061544
Control,Task,Sub_14,FC6,extra,beta,0.44079223
Control,Task,Sub_14,FC6,extra,gamma,0.5612061
Control,Task,Sub_14,FC6,extra,broadband,0.33556667
Control,Task,Sub_14,CP5,extra,delta,0.19478044
Control,Task,Sub_14,CP5,extra,theta,0.48406515
Control,Task,Sub_14,CP5,extra,alpha,0.5453406
Control,Task,Sub_14,CP5,extra,beta,0.3004096
Control,Task,Sub_14,CP5,extra,gamma,0.5884677
Control,Task,Sub_14,CP5,extra,broadband,0.27877322
Control,Task,Sub_14,CP1,extra,delta,0.20452869
Control,Task,Sub_14,CP1,extra,theta,0.5695961
Control,Task,Sub_14,CP1,extra,alpha,0.5282859
Control,Task,Sub_14,CP1,extra,beta,0.51743776
Control,Task,Sub_14,CP1,extra,gamma,0.26512584
Control,Task,Sub_14,CP1,extra,broadband,0.1837284
Control,Task,Sub_14,CP2,extra,delta,0.4228579
Control,Task,Sub_14,CP2,extra,theta,0.43232924
Control,Task,Sub_14,CP2,extra,alpha,0.3749488
Control,Task,Sub_14,CP2,extra,beta,0.5090938
Control,Task,Sub_14,CP2,extra,gamma,0.5957768
Control,Task,Sub_14,CP2,extra,broadband,0.29964256
Control,Task,Sub_14,CP6,extra,delta,0.4786681
Control,Task,Sub_14,CP6,extra,theta,0.43356708
Control,Task,Sub_14,CP6,extra,alpha,0.8041467
Control,Task,Sub_14,CP6,extra,beta,0.44771966
Control,Task,Sub_14,CP6,extra,gamma,0.33420056
Control,Task,Sub_14,CP6,extra,broadband,0.5039927
Control,Task,Sub_14,PO3,extra,delta,0.8875635
Control,Task,Sub_14,PO3,extra,theta,0.35114366
Control,Task,Sub_14,PO3,extra,alpha,0.37807256
Control,Task,Sub_14,PO3,extra,beta,0.4699451
Control,Task,Sub_14,PO3,extra,gamma,0.30490643
Control,Task,Sub_14,PO3,extra,broadband,0.5692046
Control,Task,Sub_14,PO4,extra,delta,0.36117005
Control,Task,Sub_14,PO4,extra,theta,0.5245147
Control,Task,Sub_14,PO4,extra,alpha,0.44907182
Control,Task,Sub_14,PO4,extra,beta,
Control,Task,Sub_14,PO4,extra,gamma,0.6921324
Control,Task,Sub_14,PO4,extra,broadband,0.540992
Control,Task,Sub_15,Fp1,prefrontal,delta,0.48683333
Control,Task,Sub_15,Fp1,prefrontal,theta,0.6356623
Control,Task,Sub_15,Fp1,prefrontal,alpha,0.54314786
Control,Task,Sub_15,Fp1,prefrontal,beta,0.66255456
Control,Task,Sub_15,Fp1,prefrontal,gamma,0.53078604
Control,Task,Sub_15,Fp1,prefrontal,broadband,0.56667244
Control,Task,Sub_15,Fp2,prefrontal,delta,0.51710814
Control,Task,Sub_15,Fp2,prefrontal,theta,0.64259124
Control,Task,Sub_15,Fp2,prefrontal,alpha,0.90454525
Control,Task,Sub_15,Fp2,prefrontal,beta,0.87030506
Control,Task,Sub_15,Fp2,prefrontal,gamma,0.5950104
Control,Task,Sub_15,Fp2,prefrontal,broadband,0.60254633
Control,Task,Sub_15,F7,frontal,delta,0.4681755
Control,Task,Sub_15,F7,frontal,theta,0.71969336
Control,Task,Sub_15,F7,frontal,alpha,0.75950056
Control,Task,Sub_15,F7,frontal,beta,
Control,Task,Sub_15,F7,frontal,gamma,0.40646484
Control,Task,Sub_15,F7,frontal,broadband,0.37517884
Control,Task,Sub_15,F3,frontal,delta,0.636437
Control,Task,Sub_15,F3,frontal,theta,0.4886457
Control,Task,Sub_15,F3,frontal,alpha,0.7168113
Control,Task,Sub_15,F3,frontal,beta,0.68362796
Control,Task,Sub_15,F3,frontal,gamma,0.39239547
Control,Task,Sub_15,F3,frontal,broadband,0.4332057
Control,Task,Sub_15,Fz,frontal,delta,0.6203601
Control,Task,Sub_15,Fz,frontal,theta,0.54777384
Control,Task,Sub_15,Fz,frontal,alpha,0.7939627
Control,Task,Sub_15,Fz,frontal,beta,0.69359124
Control,Task,Sub_15,Fz,frontal,gamma,0.8810965
Control,Task,Sub_15,Fz,frontal,broadband,0.24718672
Control,Task,Sub_15,F4,frontal,delta,1.1171887
Control,Task,Sub_15,F4,frontal,theta,0.72190017
Control,Task,Sub_15,F4,frontal,alpha,0.593397
Control,Task,Sub_15,F4,frontal,beta,0.5044515
Control,Task,Sub_15,F4,frontal,gamma,0.72589064
Control,Task,Sub_15,F4,frontal,broadband,0.8132607
Control,Task,Sub_15,F8,frontal,delta,0.7911332
Control,Task,Sub_15,F8,frontal,theta,0.74663764
Control,Task,Sub_15,F8,frontal,alpha,0.6089894
Control,Task,Sub_15,F8,frontal,beta,0.591939
Control,Task,Sub_15,F8,frontal,gamma,0.51881444
Control,Task,Sub_15,F8,frontal,broadband,0.31716746
Control,Task,Sub_15,T3,central,delta,0.57117665
Control,Task,Sub_15,T3,central,theta,0.7616613
Control,Task,Sub_15,T3,central,alpha,0.9226641
Control,Task,Sub_15,T3,central,beta,0.61231524
Control,Task,Sub_15,T3,central,gamma,0.37767318
Control,Task,Sub_15,T3,central,broadband,0.5415332
Control,Task,Sub_15,C3,central,delta,0.7136317
Control,Task,Sub_15,C3,central,theta,0.86307067
Control,Task,Sub_15,C3,central,alpha,0.6509449
Control,Task,Sub_15,C3,central,beta,0.8036952
Control,Task,Sub_15,C3,central,gamma,0.73873013
Control,Task,Sub_15,C3,central,broadband,0.6425662
Control,Task,Sub_15,Cz,central,delta,0.6835411
Control,Task,Sub_15,Cz,central,theta,0.6430392
Control,Task,Sub_15,Cz,central,alpha,0.56238604
Control,Task,Sub_15,Cz,central,beta,0.5925361
Control,Task,Sub_15,Cz,central,gamma,0.6419915
Control,Task,Sub_15,Cz,central,broadband,0.7054964
Control,Task,Sub_15,C4,central,delta,0.40586713
Control,Task,Sub_15,C4,central,theta,0.48083836
Control,Task,Sub_15,C4,central,alpha,0.7486168
Control,Task,Sub_15,C4,central,beta,0.4692917
Control,Task,Sub_15,C4,central,gamma,0.7104131
Control,Task,Sub_15,C4,central,broadband,0.52491593
Control,Task,Sub_15,T4,central,delta,0.4024437
Control,Task,Sub_15,T4,central,theta,0.6123906
Control,Task,Sub_15,T4,central,alpha,0.80456066
Control,Task,Sub_15,T4,central,beta,0.5608842
Control,Task,Sub_15,T4,central,gamma,0.7474127
Control,Task,Sub_15,T4,central,broadband,0.76125836
Control,Task,Sub_15,T5,parietal,delta,0.41277045
Control,Task,Sub_15,T5,parietal,theta,0.7384142
Control,Task,Sub_15,T5,parietal,alpha,0.5215048
Control,Task,Sub_15,T5,parietal,beta,0.7833163
Control,Task,Sub_15,T5,parietal,gamma,0.57307494
Control,Task,Sub_15,T5,parietal,broadband,0.69661474
Control,Task,Sub_15,P3,parietal,delta,1.0520716
Control,Task,Sub_15,P3,parietal,theta,0.52263516
Control,Task,Sub_15,P3,parietal,alpha,0.45857114
Control,Task,Sub_15,P3,parietal,beta,0.6548005
Control,Task,Sub_15,P3,parietal,gamma,0.7567681
Control,Task,Sub_15,P3,parietal,broadband,0.807636
Control,Task,Sub_15,Pz,parietal,delta,0.8420184
Control,Task,Sub_15,Pz,parietal,theta,0.56694
Control,Task,Sub_15,Pz,parietal,alpha,0.535105
Control,Task,Sub_15,Pz,parietal,beta,0.39778337
Control,Task,Sub_15,Pz,parietal,gamma,0.47995493
Control,Task,Sub_15,Pz,parietal,broadband,0.57795954
Control,Task,Sub_15,P4,parietal,delta,0.7417395
Control,Task,Sub_15,P4,parietal,theta,0.83336174
Control,Task,Sub_15,P4,parietal,alpha,0.46484625
Control,Task,Sub_15,P4,parietal,beta,0.49450263
Control,Task,Sub_15,P4,parietal,gamma,0.6454482
Control,Task,Sub_15,P4,parietal,broadband,0.6509322
Control,Task,Sub_15,T6,parietal,delta,1.027731
Control,Task,Sub_15,T6,parietal,theta,0.40570945
Control,Task,Sub_15,T6,parietal,alpha,0.40924066
Control,Task,Sub_15,T6,parietal,beta,0.7205593
Control,Task,Sub_15,T6,parietal,gamma,0.750632
Control,Task,Sub_15,T6,parietal,broadband,0.50167924
Control,Task,Sub_15,O1,occipital,delta,0.638648
Control,Task,Sub_15,O1,occipital,theta,0.7491607
Control,Task,Sub_15,O1,occipital,alpha,0.789992
Control,Task,Sub_15,O1,occipital,beta,0.47228703
Control,Task,Sub_15,O1,occipital,gamma,0.64775807
Control,Task,Sub_15,O1,occipital,broadband,0.42937845
Control,Task,Sub_15,Oz,occipital,delta,0.7069948
Control,Task,Sub_15,Oz,occipital,theta,0.5575668
Control,Task,Sub_15,Oz,occipital,alpha,0.64911556
Control,Task,Sub_15,Oz,occipital,beta,0.59346443
Control,Task,Sub_15,Oz,occipital,gamma,0.52596825
Control,Task,Sub_15,Oz,occipital,broadband,0.42772657
Control,Task,Sub_15,O2,occipital,delta,0.6897642
Control,Task,Sub_15,O2,occipital,theta,0.5235905
Control,Task,Sub_15,O2,occipital,alpha,0.9136883
Control,Task,Sub_15,O2,occipital,beta,0.78502786
Control,Task,Sub_15,O2,occipital,gamma,0.7303707
Control,Task,Sub_15,O2,occipital,broadband,0.36231357
Control,Task,Sub_15,AF3,extra,delta,0.6792717
Control,Task,Sub_15,AF3,extra,theta,0.44181842
Control,Task,Sub_15,AF3,extra,alpha,0.80090815
Control,Task,Sub_15,AF3,extra,beta,0.44795388
Control,Task,Sub_15,AF3,extra,gamma,0.5817966
Control,Task,Sub_15,AF3,extra,broadband,0.65818137
Control,Task,Sub_15,AF4,extra,delta,0.52223086
Control,Task,Sub_15,AF4,extra,theta,0.52416766
Control,Task,Sub_15,AF4,extra,alpha,0.5935087
Control,Task,Sub_15,AF4,extra,beta,0.5988461
Control,Task,Sub_15,AF4,extra,gamma,0.6526437
Control,Task,Sub_15,AF4,extra,broadband,0.6045382
Control,Task,Sub_15,FC5,extra,delta,0.407223
Control,Task,Sub_15,FC5,extra,theta,0.96817714
Control,Task,Sub_15,FC5,extra,alpha,0.75429195
Control,Task,Sub_15,FC5,extra,beta,0.6640404
Control,Task,Sub_15,FC5,extra,gamma,0.48983878
Control,Task,Sub_15,FC5,extra,broadband,0.7529784
Control,Task,Sub_15,FC1,extra,delta,0.5258586
Control,Task,Sub_15,FC1,extra,theta,0.6597786
Control,Task,Sub_15,FC1,extra,alpha,0.5736674
Control,Task,Sub_15,FC1,extra,beta,0.6265133
Control,Task,Sub_15,FC1,extra,gamma,0.86141473
Control,Task,Sub_15,FC1,extra,broadband,0.4785936
Control,Task,Sub_15,FC2,extra,delta,0.793675
Control,Task,Sub_15,FC2,extra,theta,0.71847236
Control,Task,Sub_15,FC2,extra,alpha,0.44537345
Control,Task,Sub_15,FC2,extra,beta,0.9610785
Control,Task,Sub_15,FC2,extra,gamma,0.7149736
Control,Task,Sub_15,FC2,extra,broadband,0.35697195
Control,Task,Sub_15,FC6,extra,delta,0.5702218
Control,Task,Sub_15,FC6,extra,theta,0.45355013
Control,Task,Sub_15,FC6,extra,alpha,0.49513453
Control,Task,Sub_15,FC6,extra,beta,0.48962834
Control,Task,Sub_15,FC6,extra,gamma,0.6381435
Control,Task,Sub_15,FC6,extra,broadband,0.62188476
Control,Task,Sub_15,CP5,extra,delta,0.7036151
Control,Task,Sub_15,CP5,extra,theta,0.61106324
Control,Task,Sub_15,CP5,extra,alpha,0.62131715
Control,Task,Sub_15,CP5,extra,beta,0.812335
Control,Task,Sub_15,CP5,extra,gamma,1.1662107
Control,Task,Sub_15,CP5,extra,broadband,0.6440558
Control,Task,Sub_15,CP1,extra,delta,0.7357124
Control,Task,Sub_15,CP1,extra,theta,0.7594782
Control,Task,Sub_15,CP1,extra,alpha,0.48922303
Control,Task,Sub_15,CP1,extra,beta,0.59383076
Control,Task,Sub_15,CP1,extra,gamma,0.59781307
Control,Task,Sub_15,CP1,extra,broadband,0.72578967
Control,Task,Sub_15,CP2,extra,delta,0.77432543
Control,Task,Sub_15,CP2,extra,theta,0.61447036
Control,Task,Sub_15,CP2,extra,alpha,0.83900255
Control,Task,Sub_15,CP2,extra,beta,0.69940245
Control,Task,Sub_15,CP2,extra,gamma,0.512818
Control,Task,Sub_15,CP2,extra,broadband,0.7072486
Control,Task,Sub_15,CP6,extra,delta,0.3729481
Control,Task,Sub_15,CP6,extra,theta,0.5744034
Control,Task,Sub_15,CP6,extra,alpha,0.3010392
Control,Task,Sub_15,CP6,extra,beta,0.61783993
Control,Task,Sub_15,CP6,extra,gamma,0.77686
Control,Task,Sub_15,CP6,extra,broadband,0.7141842
Control,Task,Sub_15,PO3,extra,delta,0.27503815
Control,Task,Sub_15,PO3,extra,theta,
Control,Task,Sub_15,PO3,extra,alpha,0.7067086
Control,Task,Sub_15,PO3,extra,beta,0.7418087
Control,Task,Sub_15,PO3,extra,gamma,0.742251
Control,Task,Sub_15,PO3,extra,broadband,0.71846753
Control,Task,Sub_15,PO4,extra,delta,0.43115473
Control,Task,Sub_15,PO4,extra,theta,0.5948319
Control,Task,Sub_15,PO4,extra,alpha,0.5157393
Control,Task,Sub_15,PO4,extra,beta,0.5868828
Control,Task,Sub_15,PO4,extra,gamma,0.6938522
Control,Task,Sub_15,PO4,extra,broadband,0.46479848
Control,Task,Sub_16,Fp1,prefrontal,delta,0.40573546
Control,Task,Sub_16,Fp1,prefrontal,theta,0.57773316
Control,Task,Sub_16,Fp1,prefrontal,alpha,0.40184534
Control,Task,Sub_16,Fp1,prefrontal,beta,
Control,Task,Sub_16,Fp1,prefrontal,gamma,0.48270363
Control,Task,Sub_16,Fp1,prefrontal,broadband,0.6231359
Control,Task,Sub_16,Fp2,prefrontal,delta,0.39286122
Control,Task,Sub_16,Fp2,prefrontal,theta,0.24283205
Control,Task,Sub_16,Fp2,prefrontal,alpha,0.31885377
Control,Task,Sub_16,Fp2,prefrontal,beta,0.47976416
Control,Task,Sub_16,Fp2,prefrontal,gamma,0.22728544
Control,Task,Sub_16,Fp2,prefrontal,broadband,0.34828126
Control,Task,Sub_16,F7,frontal,delta,0.40330383
Control,Task,Sub_16,F7,frontal,theta,0.7453439
Control,Task,Sub_16,F7,frontal,alpha,0.57228035
Control,Task,Sub_16,F7,frontal,beta,0.36290148
Control,Task,Sub_16,F7,frontal,gamma,0.3158769
Control,Task,Sub_16,F7,frontal,broadband,0.2689009
Control,Task,Sub_16,F3,frontal,delta,0.59507185
Control,Task,Sub_16,F3,frontal,theta,0.44250968
Control,Task,Sub_16,F3,frontal,alpha,0.21778165
Control,Task,Sub_16,F3,frontal,beta,0.49507055
Control,Task,Sub_16,F3,frontal,gamma,0.62162817
Control,Task,Sub_16,F3,frontal,broadband,0.56434363
Control,Task,Sub_16,Fz,frontal,delta,0.51051265
Control,Task,Sub_16,Fz,frontal,theta,0.64897597
Control,Task,Sub_16,Fz,frontal,alpha,0.52775395
Control,Task,Sub_16,Fz,frontal,beta,0.49764395
Control,Task,Sub_16,Fz,frontal,gamma,0.5703694
Control,Task,Sub_16,Fz,frontal,broadband,0.20220082
Control,Task,Sub_16,F4,frontal,delta,0.78241587
Control,Task,Sub_16,F4,frontal,theta,0.5286083
Control,Task,Sub_16,F4,frontal,alpha,0.46493456
Control,Task,Sub_16,F4,frontal,beta,0.59369904
Control,Task,Sub_16,F4,frontal,gamma,0.29325283
Control,Task,Sub_16,F4,frontal,broadband,0.2861783
Control,Task,Sub_16,F8,frontal,delta,0.5422827
Control,Task,Sub_16,F8,frontal,theta,0.58046234
Control,Task,Sub_16,F8,frontal,alpha,0.2630076
Control,Task,Sub_16,F8,frontal,beta,0.48271137
Control,Task,Sub_16,F8,frontal,gamma,0.338479
Control,Task,Sub_16,F8,frontal,broadband,0.35685956
Control,Task,Sub_16,T3,central,delta,0.31503955
Control,Task,Sub_16,T3,central,theta,0.5664016
Control,Task,Sub_16,T3,central,alpha,0.64072907
Control,Task,Sub_16,T3,central,beta,0.34975702
Control,Task,Sub_16,T3,central,gamma,0.52882123
Control,Task,Sub_16,T3,central,broadband,0.39963996
Control,Task,Sub_16,C3,central,delta,0.46795443
Control,Task,Sub_16,C3,central,theta,0.28794092
Control,Task,Sub_16,C3,central,alpha,0.30609795
Control,Task,Sub_16,C3,central,beta,0.40439308
Control,Task,Sub_16,C3,central,gamma,0.28827748
Control,Task,Sub_16,C3,central,broadband,0.37004519
Control,Task,Sub_16,Cz,central,delta,0.49276602
Control,Task,Sub_16,Cz,central,theta,0.57383496
Control,Task,Sub_16,Cz,central,alpha,0.4408392
Control,Task,Sub_16,Cz,central,beta,0.37795722
Control,Task,Sub_16,Cz,central,gamma,0.2125123
Control,Task,Sub_16,Cz,central,broadband,0.41368517
Control,Task,Sub_16,C4,central,delta,0.38055414
Control,Task,Sub_16,C4,central,theta,0.40751296
Control,Task,Sub_16,C4,central,alpha,0.5194285
Control,Task,Sub_16,C4,central,beta,0.23514777
Control,Task,Sub_16,C4,central,gamma,0.5085714
Control,Task,Sub_16,C4,central,broadband,0.29021883
Control,Task,Sub_16,T4,central,delta,0.2668571
Control,Task,Sub_16,T4,central,theta,0.32263172
Control,Task,Sub_16,T4,central,alpha,0.30990177
Control,Task,Sub_16,T4,central,beta,0.46735045
Control,Task,Sub_16,T4,central,gamma,0.71046853
Control,Task,Sub_16,T4,central,broadband,0.69138014
Control,Task,Sub_16,T5,parietal,delta,0.4024275
Control,Task,Sub_16,T5,parietal,theta,0.41806027
Control,Task,Sub_16,T5,parietal,alpha,0.6349878
Control,Task,Sub_16,T5,parietal,beta,0.59958035
Control,Task,Sub_16,T5,parietal,gamma,0.3514371
Control,Task,Sub_16,T5,parietal,broadband,0.509095
Control,Task,Sub_16,P3,parietal,delta,1.2105379
Control,Task,Sub_16,P3,parietal,theta,0.63076043
Control,Task,Sub_16,P3,parietal,alpha,0.8856415
Control,Task,Sub_16,P3,parietal,beta,0.4048448
Control,Task,Sub_16,P3,parietal,gamma,0.5826938
Control,Task,Sub_16,P3,parietal,broadband,0.4651248
Control,Task,Sub_16,Pz,parietal,delta,0.48569566
Control,Task,Sub_16,Pz,parietal,theta,0.32791066
Control,Task,Sub_16,Pz,parietal,alpha,0.4319169
Control,Task,Sub_16,Pz,parietal,beta,0.55046123
Control,Task,Sub_16,Pz,parietal,gamma,0.35154334
Control,Task,Sub_16,Pz,parietal,broadband,0.49771824
Control,Task,Sub_16,P4,parietal,delta,0.4989811
Control,Task,Sub_16,P4,parietal,theta,0.43330553
Control,Task,Sub_16,P4,parietal,alpha,0.8301633
Control,Task,Sub_16,P4,parietal,beta,0.63403654
Control,Task,Sub_16,P4,parietal,gamma,0.83988774
Control,Task,Sub_16,P4,parietal,broadband,0.6068653
Control,Task,Sub_16,T6,parietal,delta,0.46921885
Control,Task,Sub_16,T6,parietal,theta,0.39939806
Control,Task,Sub_16,T6,parietal,alpha,0.54784995
Control,Task,Sub_16,T6,parietal,beta,0.52374876
Control,Task,Sub_16,T6,parietal,gamma,0.5785206
Control,Task,Sub_16,T6,parietal,broadband,0.4728516
Control,Task,Sub_16,O1,occipital,delta,
Control,Task,Sub_16,O1,occipital,theta,0.3982674
Control,Task,Sub_16,O1,occipital,alpha,0.42737818
Control,Task,Sub_16,O1,occipital,beta,0.29870605
Control,Task,Sub_16,O1,occipital,gamma,0.6480963
Control,Task,Sub_16,O1,occipital,broadband,0.4413254
Control,Task,Sub_16,Oz,occipital,delta,0.4965866
Control,Task,Sub_16,Oz,occipital,theta,0.34827685
Control,Task,Sub_16,Oz,occipital,alpha,0.49993613
Control,Task,Sub_16,Oz,occipital,beta,0.53348434
Control,Task,Sub_16,Oz,occipital,gamma,0.4635312
Control,Task,Sub_16,Oz,occipital,broadband,0.6338375
Control,Task,Sub_16,O2,occipital,delta,0.14211299
Control,Task,Sub_16,O2,occipital,theta,0.47821325
Control,Task,Sub_16,O2,occipital,alpha,0.6003299
Control,Task,Sub_16,O2,occipital,beta,0.35642928
Control,Task,Sub_16,O2,occipital,gamma,0.54834354
Control,Task,Sub_16,O2,occipital,broadband,0.36425743
Control,Task,Sub_16,AF3,extra,delta,0.4717389
Control,Task,Sub_16,AF3,extra,theta,0.7296581
Control,Task,Sub_16,AF3,extra,alpha,0.31007102
Control,Task,Sub_16,AF3,extra,beta,0.4926139
Control,Task,Sub_16,AF3,extra,gamma,0.35770154
Control,Task,Sub_16,AF3,extra,broadband,0.23799206
Control,Task,Sub_16,AF4,extra,delta,0.52455086
Control,Task,Sub_16,AF4,extra,theta,0.092816144
Control,Task,Sub_16,AF4,extra,alpha,0.5034096
Control,Task,Sub_16,AF4,extra,beta,0.2521498
Control,Task,Sub_16,AF4,extra,gamma,0.4448824
Control,Task,Sub_16,AF4,extra,broadband,0.32792777
Control,Task,Sub_16,FC5,extra,delta,0.60745806
Control,Task,Sub_16,FC5,extra,theta,0.46464413
Control,Task,Sub_16,FC5,extra,alpha,0.5133466
Control,Task,Sub_16,FC5,extra,beta,0.22367619
Control,Task,Sub_16,FC5,extra,gamma,0.62234336
Control,Task,Sub_16,FC5,extra,broadband,0.33776417
Control,Task,Sub_16,FC1,extra,delta,0.6640658
Control,Task,Sub_16,FC1,extra,theta,0.33059976
Control,Task,Sub_16,FC1,extra,alpha,0.6146018
Control,Task,Sub_16,FC1,extra,beta,0.57340354
Control,Task,Sub_16,FC1,extra,gamma,0.61990607
Control,Task,Sub_16,FC1,extra,broadband,0.30899635
Control,Task,Sub_16,FC2,extra,delta,0.40120435
Control,Task,Sub_16,FC2,extra,theta,0.4316939
Control,Task,Sub_16,FC2,extra,alpha,0.52548194
Control,Task,Sub_16,FC2,extra,beta,0.7071864
Control,Task,Sub_16,FC2,extra,gamma,0.43102238
Control,Task,Sub_16,FC2,extra,broadband,0.46445408
Control,Task,Sub_16,FC6,extra,delta,0.42356652
Control,Task,Sub_16,FC6,extra,theta,0.6138941
Control,Task,Sub_16,FC6,extra,alpha,0.32483357
Control,Task,Sub_16,FC6,extra,beta,0.36433578
Control,Task,Sub_16,FC6,extra,gamma,0.5444652
Control,Task,Sub_16,FC6,extra,broadband,0.40857673
Control,Task,Sub_16,CP5,extra,delta,0.71311545
Control,Task,Sub_16,CP5,extra,theta,0.46304247
Control,Task,Sub_16,CP5,extra,alpha,0.13591929
Control,Task,Sub_16,CP5,extra,beta,0.3857437
Control,Task,Sub_16,CP5,extra,gamma,0.19553237
Control,Task,Sub_16,CP5,extra,broadband,0.41980553
Control,Task,Sub_16,CP1,extra,delta,0.40981138
Control,Task,Sub_16,CP1,extra,theta,0.38192105
Control,Task,Sub_16,CP1,extra,alpha,0.2632272
Control,Task,Sub_16,CP1,extra,beta,0.5170787
Control,Task,Sub_16,CP1,extra,gamma,0.33368415
Control,Task,Sub_16,CP1,extra,broadband,0.7495544
Control,Task,Sub_16,CP2,extra,delta,0.6928935
Control,Task,Sub_16,CP2,extra,theta,0.24712047
Control,Task,Sub_16,CP2,extra,alpha,0.4890435
Control,Task,Sub_16,CP2,extra,beta,0.4344908
Control,Task,Sub_16,CP2,extra,gamma,0.55741125
Control,Task,Sub_16,CP2,extra,broadband,0.456814
Control,Task,Sub_16,CP6,extra,delta,
Control,Task,Sub_16,CP6,extra,theta,0.29917026
Control,Task,Sub_16,CP6,extra,alpha,0.24219656
Control,Task,Sub_16,CP6,extra,beta,0.189969
Control,Task,Sub_16,CP6,extra,gamma,0.56932056
Control,Task,Sub_16,CP6,extra,broadband,0.50407195
